,Mu(eV),Temp(K),ElCond_xx,ElCond_xy,ElCond_yy,ElCond_xz,ElCond_yz,ElCond_zz,Material,Parameter_el,Label,Plottag_el,Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Parameter_sb,Plottag_sb,Kappa_xx,Kappa_xy,Kappa_yy,Kappa_xz,Kappa_yz,Kappa_zz,Parameter,Plottag,ZT
211,1.0534999999999997,300.0,2246956.94,274.3584872,2246318.335,-443.6466926,-231.2204432,2246249.834,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-2.180019121e-05,-7.683351543e-10,-1.31581339e-09,-7.63692778e-10,-2.178879079e-05,-1.824903432e-08,-1.320778909e-09,-1.824989919e-08,-2.178883077e-05,seebeck,CsPbI$_{3}$,15.04357105,0.002591774685,15.04863722,0.000876651114,0.001170239665,15.04276467,kappa,CsPbI$_{3}$,0.021295393461371718
212,1.1034999999999995,300.0,2476194.178,407.4036018,2476031.617,-112.0962252,223.8647035,2475702.882,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.217079043e-05,-1.622063683e-09,-2.783797736e-08,-1.626151331e-09,-1.222011412e-05,-3.570300956e-08,-2.784798859e-08,-3.571042394e-08,-1.219820753e-05,seebeck,CsPbI$_{3}$,18.01543592,0.00118220811,18.01969911,0.0003962275619,0.003324725212,18.01457563,kappa,CsPbI$_{3}$,0.006107996032894901
213,1.1534999999999993,300.0,2680956.09,291.8433207,2682118.062,277.0747926,920.9027248,2680794.994,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.774017428e-05,1.819630153e-08,-1.930196955e-08,1.818927201e-08,-1.777358156e-05,-2.073120639e-08,-1.931340911e-08,-2.073984148e-08,-1.775734227e-05,seebeck,CsPbI$_{3}$,21.25803633,0.0004013313463,21.25725001,0.003093560788,0.004283473947,21.26330606,kappa,CsPbI$_{3}$,0.011907033481494363
214,1.2035,300.0,3143725.155,-94.43170384,3144556.661,818.6145089,1220.194794,3144240.198,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-2.217806147e-05,9.350064641e-09,-1.837690616e-08,9.353177127e-09,-2.215187363e-05,-2.906095095e-09,-1.840838076e-08,-2.964554323e-09,-2.229690904e-05,seebeck,CsPbI$_{3}$,22.81757286,0.001176661879,22.82765277,0.004512809887,0.007971744182,22.84419561,kappa,CsPbI$_{3}$,0.020330288641392493
215,1.2534999999999998,300.0,3569568.329,-150.7375662,3570277.487,1227.326208,1486.31726,3574661.131,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.221817009e-05,3.035451462e-09,-3.751260941e-09,3.037783332e-09,-1.228241043e-05,-3.92091889e-09,-3.787829988e-09,-3.939712638e-09,-1.233704827e-05,seebeck,CsPbI$_{3}$,24.67205108,-0.001263612976,24.69924647,0.00517693121,0.009169020403,24.68657557,kappa,CsPbI$_{3}$,0.006479537866708116
216,1.3034999999999997,300.0,3769669.908,-284.5697898,3774173.679,1129.200484,1579.156199,3776182.476,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-8.491213275e-06,4.023325998e-09,1.614179805e-08,4.020614997e-09,-8.584922401e-06,5.868467371e-09,1.612557638e-08,5.921330222e-09,-8.445262409e-06,seebeck,CsPbI$_{3}$,27.66267706,-0.001778556256,27.67207412,0.005974230628,0.00944016969,27.6782771,kappa,CsPbI$_{3}$,0.0029476089686690946
217,1.3534999999999995,300.0,4045683.111,-348.1614984,4049630.43,739.4561049,1397.633369,4048677.481,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-9.362641815e-06,3.624289325e-09,5.345679023e-09,3.609777529e-09,-9.233399989e-06,1.086000708e-08,5.369873621e-09,1.087414924e-08,-9.196588351e-06,seebeck,CsPbI$_{3}$,28.7008756,-0.003385719312,28.7265487,0.007642230778,0.009776969773,28.73453463,kappa,CsPbI$_{3}$,0.0037069334463681026
218,1.4034999999999993,300.0,4190020.63,-568.3049085,4192344.39,753.1781295,1192.773807,4191375.255,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-8.771349846e-07,5.083097117e-09,2.702745612e-09,5.121679201e-09,-1.18266164e-06,4.094744806e-09,2.65624564e-09,4.112288837e-09,-1.119841919e-06,seebeck,CsPbI$_{3}$,30.02326506,-0.002940245427,30.10830086,0.005301318376,0.009435238552,30.08709791,kappa,CsPbI$_{3}$,3.221160478889092e-05
219,1.4535,300.0,4203225.966,-581.7831296,4220984.649,729.9845274,1159.722133,4215482.754,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-7.085181307e-06,-3.379941966e-09,4.194708468e-09,-3.405358546e-09,-6.797114341e-06,7.106682774e-09,4.230423688e-09,7.112901099e-09,-6.808249652e-06,seebeck,CsPbI$_{3}$,32.83388589,-0.003932413177,32.69301595,0.003452067341,0.006770945431,32.72540464,kappa,CsPbI$_{3}$,0.0019278961891282202
220,1.5034999999999998,300.0,4546952.836,-596.8468591,4531454.578,405.3632615,776.5269864,4533490.938,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.102232695e-05,9.269793762e-10,1.132287984e-08,8.420903691e-10,-1.036157185e-05,1.035669278e-08,1.13932232e-08,1.031052042e-08,-1.05947875e-05,seebeck,CsPbI$_{3}$,33.25119294,-0.003955948331,33.368175,0.003847734336,0.008232794477,33.35145417,kappa,CsPbI$_{3}$,0.004984034633511622
221,1.5534999999999997,300.0,4906617.392,-528.053468,4894385.797,249.0610174,791.4722782,4900625.909,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-6.149277322e-06,-3.290310144e-09,4.071377144e-09,-3.191351855e-09,-7.150087655e-06,-2.849496995e-09,4.035571615e-09,-2.816720342e-09,-6.967926693e-06,seebeck,CsPbI$_{3}$,33.05815599,-0.005031523047,33.20555226,0.001765235548,0.006641196992,33.13299379,kappa,CsPbI$_{3}$,0.0016837320657232214
222,1.6034999999999995,300.0,4877548.294,-700.6758119,4913062.326,2.088261482,806.0174313,4902291.226,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,7.55596795e-06,7.619248916e-09,2.728889842e-09,7.563640927e-09,7.556572789e-06,-1.831999056e-09,2.714253334e-09,-1.790765131e-09,7.834235929e-06,seebeck,CsPbI$_{3}$,33.56400353,-0.003447096599,33.23983356,0.002705787569,0.007922837855,33.30508852,kappa,CsPbI$_{3}$,0.0024890251736110203
223,1.6534999999999993,300.0,4494275.822,-669.0688669,4480659.694,121.3140467,1083.097291,4475439.8,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,3.883887306e-06,-1.054001925e-08,-3.064035507e-09,-1.079998541e-08,5.412205285e-06,-1.677947486e-08,-3.042808185e-09,-1.690924726e-08,4.953769834e-06,seebeck,CsPbI$_{3}$,36.64307951,-0.002480555865,36.63065822,0.0008544294495,0.008225557163,36.67250981,kappa,CsPbI$_{3}$,0.0005550374052165188
224,1.7035,300.0,4674343.576,-223.9808791,4626212.655,192.565244,1531.558245,4639602.512,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.220165402e-05,2.000451011e-09,7.356556612e-09,2.035585856e-09,-1.253479163e-05,1.546462266e-08,7.387441747e-09,1.53483304e-08,-1.275055088e-05,seebeck,CsPbI$_{3}$,36.73911974,-0.005919715724,36.90732396,-0.0005338649289,0.003298283884,36.852593,kappa,CsPbI$_{3}$,0.005682645336639806
225,1.7534999999999998,300.0,5169979.526,-587.2889543,5172509.669,-118.8287018,575.0241776,5180680.861,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-1.049012521e-05,-5.753174592e-09,-8.88351362e-09,-5.633290737e-09,-1.151418852e-05,8.102271298e-09,-8.850260165e-09,8.130493645e-09,-1.11526687e-05,seebeck,CsPbI$_{3}$,36.43475308,0.0005663548628,36.18456298,0.004581202392,0.01270245444,36.17129968,kappa,CsPbI$_{3}$,0.004684417461977057
226,1.8034999999999997,300.0,5494320.954,38.60454109,5499305.494,687.6501724,1174.130087,5493394.4,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,-2.2268403e-06,-6.947490174e-09,-6.106164651e-09,-6.938770277e-09,-1.80054772e-06,-1.487591433e-08,-6.018179378e-09,-1.483257275e-08,-1.526741946e-06,seebeck,CsPbI$_{3}$,35.89355929,-0.004900276553,35.7374187,-0.003910876429,0.006378839843,35.74835642,kappa,CsPbI$_{3}$,0.00022771775762301665
227,1.8534999999999995,300.0,5226747.406,-224.3203464,5212281.866,123.8706585,1301.53727,5197613.861,CsPbI3,elcond,CsPbI3,CsPbI$_{3}$,1.116053769e-05,8.137316633e-09,3.112218898e-08,8.12275101e-09,1.184789617e-05,1.054327183e-08,3.130855212e-08,1.055074249e-08,1.176504811e-05,seebeck,CsPbI$_{3}$,37.18116242,-0.001631307676,36.97979691,-0.004390931734,0.005605630088,37.07287391,kappa,CsPbI$_{3}$,0.0052529109768540815
