,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
51,-1.45,350.0,-6.132216951e-05,2.004875369e-10,8.476802443e-10,2.005216726e-10,-6.131944016e-05,1.052207366e-09,8.475176957e-10,1.052010064e-09,-6.131345347e-05,CsPbBr3,seebeck,350K
52,-1.4,350.0,-3.681696348e-05,-2.483559562e-10,8.990651394e-10,-2.483717192e-10,-3.68180723e-05,1.148769824e-09,8.989038019e-10,1.148554979e-09,-3.68015623e-05,CsPbBr3,seebeck,350K
53,-1.35,350.0,-2.326294205e-05,2.764154198e-10,1.099175808e-10,2.762432222e-10,-2.327396249e-05,-4.061338557e-10,1.098616114e-10,-4.063114441e-10,-2.325820481e-05,CsPbBr3,seebeck,350K
54,-1.3,350.0,-1.60257906e-05,-2.517446569e-10,-1.557998936e-09,-2.518812556e-10,-1.603776037e-05,-1.114914579e-09,-1.557960306e-09,-1.115116027e-09,-1.602599679e-05,CsPbBr3,seebeck,350K
55,-1.25,350.0,-1.162383825e-05,-6.744056224e-10,-1.614879292e-09,-6.743138237e-10,-1.162556095e-05,-1.20916007e-09,-1.61485562e-09,-1.209365808e-09,-1.162779512e-05,CsPbBr3,seebeck,350K
56,-1.2,350.0,-8.669653286e-06,1.085090311e-09,1.056410072e-09,1.085162716e-09,-8.658632753e-06,1.550207565e-09,1.056345182e-09,1.5502437e-09,-8.670584674e-06,CsPbBr3,seebeck,350K
57,-1.15,350.0,-6.58860776e-06,1.175154887e-09,9.816297575e-10,1.175080828e-09,-6.586815466e-06,2.688327412e-09,9.81613861e-10,2.68848596e-09,-6.592085528e-06,CsPbBr3,seebeck,350K
58,-1.1,350.0,-5.2106255e-06,1.18646241e-09,2.4865631e-10,1.186358371e-09,-5.207635253e-06,-1.180187963e-09,2.486918922e-10,-1.179805523e-09,-5.225571871e-06,CsPbBr3,seebeck,350K
59,-1.05,350.0,-3.25789805e-06,5.486461672e-10,1.286527043e-10,5.485900272e-10,-3.245506958e-06,-1.466634792e-09,1.287061731e-10,-1.466098026e-09,-3.276068983e-06,CsPbBr3,seebeck,350K
60,-1.0,350.0,-2.951868257e-06,-1.185339775e-10,-4.819455584e-10,-1.185314668e-10,-2.952412922e-06,-4.309250803e-10,-4.818553849e-10,-4.307900452e-10,-2.933202099e-06,CsPbBr3,seebeck,350K
